bmc_sample_code,sample,run_code
D18-218104-lane3,a01_D08_lane3,lane3
D18-218104-lane4,a01_D08_lane4,lane4
D18-218104-lane5,a01_D08_lane5,lane5
D18-218104-lane6,a01_D08_lane6,lane6
D18-218105-lane3,a08_D05_lane3,lane3
D18-218105-lane4,a08_D05_lane4,lane4
D18-218105-lane5,a08_D05_lane5,lane5
D18-218105-lane6,a08_D05_lane6,lane6
D18-218106-lane3,b10_D05_lane3,lane3
D18-218106-lane4,b10_D05_lane4,lane4
D18-218106-lane5,b10_D05_lane5,lane5
D18-218106-lane6,b10_D05_lane6,lane6
D18-218107-lane3,a02_D06_lane3,lane3
D18-218107-lane4,a02_D06_lane4,lane4
D18-218107-lane5,a02_D06_lane5,lane5
D18-218107-lane6,a02_D06_lane6,lane6
D18-218108-lane3,b04_D06_lane3,lane3
D18-218108-lane4,b04_D06_lane4,lane4
D18-218108-lane5,b04_D06_lane5,lane5
D18-218108-lane6,b04_D06_lane6,lane6
D18-218109-lane3,c06_D06_lane3,lane3
D18-218109-lane4,c06_D06_lane4,lane4
D18-218109-lane5,c06_D06_lane5,lane5
D18-218109-lane6,c06_D06_lane6,lane6
D18-218110-lane3,a08_D07_lane3,lane3
D18-218110-lane4,a08_D07_lane4,lane4
D18-218110-lane5,a08_D07_lane5,lane5
D18-218110-lane6,a08_D07_lane6,lane6
D18-218111-lane3,b10_D07_lane3,lane3
D18-218111-lane4,b10_D07_lane4,lane4
D18-218111-lane5,b10_D07_lane5,lane5
D18-218111-lane6,b10_D07_lane6,lane6
D18-218112-lane3,a02_D08_lane3,lane3
D18-218112-lane4,a02_D08_lane4,lane4
D18-218112-lane5,a02_D08_lane5,lane5
D18-218112-lane6,a02_D08_lane6,lane6
D18-218113-lane3,a09_D05_lane3,lane3
D18-218113-lane4,a09_D05_lane4,lane4
D18-218113-lane5,a09_D05_lane5,lane5
D18-218113-lane6,a09_D05_lane6,lane6
D18-218114-lane3,c01_D05_lane3,lane3
D18-218114-lane4,c01_D05_lane4,lane4
D18-218114-lane5,c01_D05_lane5,lane5
D18-218114-lane6,c01_D05_lane6,lane6
D18-218115-lane3,a03_D06_lane3,lane3
D18-218115-lane4,a03_D06_lane4,lane4
D18-218115-lane5,a03_D06_lane5,lane5
D18-218115-lane6,a03_D06_lane6,lane6
D18-218116-lane3,b05_D06_lane3,lane3
D18-218116-lane4,b05_D06_lane4,lane4
D18-218116-lane5,b05_D06_lane5,lane5
D18-218116-lane6,b05_D06_lane6,lane6
D18-218117-lane3,c07_D06_lane3,lane3
D18-218117-lane4,c07_D06_lane4,lane4
D18-218117-lane5,c07_D06_lane5,lane5
D18-218117-lane6,c07_D06_lane6,lane6
D18-218118-lane3,a09_D07_lane3,lane3
D18-218118-lane4,a09_D07_lane4,lane4
D18-218118-lane5,a09_D07_lane5,lane5
D18-218118-lane6,a09_D07_lane6,lane6
D18-218119-lane3,c01_D07_lane3,lane3
D18-218119-lane4,c01_D07_lane4,lane4
D18-218119-lane5,c01_D07_lane5,lane5
D18-218119-lane6,c01_D07_lane6,lane6
D18-218120-lane3,a03_D08_lane3,lane3
D18-218120-lane4,a03_D08_lane4,lane4
D18-218120-lane5,a03_D08_lane5,lane5
D18-218120-lane6,a03_D08_lane6,lane6
D18-218121-lane3,a10_D05_lane3,lane3
D18-218121-lane4,a10_D05_lane4,lane4
D18-218121-lane5,a10_D05_lane5,lane5
D18-218121-lane6,a10_D05_lane6,lane6
D18-218122-lane3,c02_D05_lane3,lane3
D18-218122-lane4,c02_D05_lane4,lane4
D18-218122-lane5,c02_D05_lane5,lane5
D18-218122-lane6,c02_D05_lane6,lane6
D18-218123-lane3,a04_D06_lane3,lane3
D18-218123-lane4,a04_D06_lane4,lane4
D18-218123-lane5,a04_D06_lane5,lane5
D18-218123-lane6,a04_D06_lane6,lane6
D18-218124-lane3,b06_D06_lane3,lane3
D18-218124-lane4,b06_D06_lane4,lane4
D18-218124-lane5,b06_D06_lane5,lane5
D18-218124-lane6,b06_D06_lane6,lane6
D18-218125-lane3,c08_D06_lane3,lane3
D18-218125-lane4,c08_D06_lane4,lane4
D18-218125-lane5,c08_D06_lane5,lane5
D18-218125-lane6,c08_D06_lane6,lane6
D18-218126-lane3,a10_D07_lane3,lane3
D18-218126-lane4,a10_D07_lane4,lane4
D18-218126-lane5,a10_D07_lane5,lane5
D18-218126-lane6,a10_D07_lane6,lane6
D18-218127-lane3,c02_D07_lane3,lane3
D18-218127-lane4,c02_D07_lane4,lane4
D18-218127-lane5,c02_D07_lane5,lane5
D18-218127-lane6,c02_D07_lane6,lane6
D18-218128-lane3,a04_D08_lane3,lane3
D18-218128-lane4,a04_D08_lane4,lane4
D18-218128-lane5,a04_D08_lane5,lane5
D18-218128-lane6,a04_D08_lane6,lane6
D18-218129-lane3,b01_D05_lane3,lane3
D18-218129-lane4,b01_D05_lane4,lane4
D18-218129-lane5,b01_D05_lane5,lane5
D18-218129-lane6,b01_D05_lane6,lane6
D18-218130-lane3,c03_D05_lane3,lane3
D18-218130-lane4,c03_D05_lane4,lane4
D18-218130-lane5,c03_D05_lane5,lane5
D18-218130-lane6,c03_D05_lane6,lane6
D18-218131-lane3,a05_D06_lane3,lane3
D18-218131-lane4,a05_D06_lane4,lane4
D18-218131-lane5,a05_D06_lane5,lane5
D18-218131-lane6,a05_D06_lane6,lane6
D18-218132-lane3,b07_D06_lane3,lane3
D18-218132-lane4,b07_D06_lane4,lane4
D18-218132-lane5,b07_D06_lane5,lane5
D18-218132-lane6,b07_D06_lane6,lane6
D18-218133-lane3,c09_D06_lane3,lane3
D18-218133-lane4,c09_D06_lane4,lane4
D18-218133-lane5,c09_D06_lane5,lane5
D18-218133-lane6,c09_D06_lane6,lane6
D18-218134-lane3,b01_D07_lane3,lane3
D18-218134-lane4,b01_D07_lane4,lane4
D18-218134-lane5,b01_D07_lane5,lane5
D18-218134-lane6,b01_D07_lane6,lane6
D18-218135-lane3,c03_D07_lane3,lane3
D18-218135-lane4,c03_D07_lane4,lane4
D18-218135-lane5,c03_D07_lane5,lane5
D18-218135-lane6,c03_D07_lane6,lane6
D18-218136-lane3,a05_D08_lane3,lane3
D18-218136-lane4,a05_D08_lane4,lane4
D18-218136-lane5,a05_D08_lane5,lane5
D18-218136-lane6,a05_D08_lane6,lane6
D18-218137-lane3,b02_D05_lane3,lane3
D18-218137-lane4,b02_D05_lane4,lane4
D18-218137-lane5,b02_D05_lane5,lane5
D18-218137-lane6,b02_D05_lane6,lane6
D18-218138-lane3,c04_D05_lane3,lane3
D18-218138-lane4,c04_D05_lane4,lane4
D18-218138-lane5,c04_D05_lane5,lane5
D18-218138-lane6,c04_D05_lane6,lane6
D18-218139-lane3,a06_D06_lane3,lane3
D18-218139-lane4,a06_D06_lane4,lane4
D18-218139-lane5,a06_D06_lane5,lane5
D18-218139-lane6,a06_D06_lane6,lane6
D18-218140-lane3,b08_D06_lane3,lane3
D18-218140-lane4,b08_D06_lane4,lane4
D18-218140-lane5,b08_D06_lane5,lane5
D18-218140-lane6,b08_D06_lane6,lane6
D18-218141-lane3,c10_D06_lane3,lane3
D18-218141-lane4,c10_D06_lane4,lane4
D18-218141-lane5,c10_D06_lane5,lane5
D18-218141-lane6,c10_D06_lane6,lane6
D18-218142-lane3,b02_D07_lane3,lane3
D18-218142-lane4,b02_D07_lane4,lane4
D18-218142-lane5,b02_D07_lane5,lane5
D18-218142-lane6,b02_D07_lane6,lane6
D18-218143-lane3,c04_D07_lane3,lane3
D18-218143-lane4,c04_D07_lane4,lane4
D18-218143-lane5,c04_D07_lane5,lane5
D18-218143-lane6,c04_D07_lane6,lane6
D18-218144-lane3,a06_D08_lane3,lane3
D18-218144-lane4,a06_D08_lane4,lane4
D18-218144-lane5,a06_D08_lane5,lane5
D18-218144-lane6,a06_D08_lane6,lane6
D18-218145-lane3,b03_D05_lane3,lane3
D18-218145-lane4,b03_D05_lane4,lane4
D18-218145-lane5,b03_D05_lane5,lane5
D18-218145-lane6,b03_D05_lane6,lane6
D18-218146-lane3,c05_D05_lane3,lane3
D18-218146-lane4,c05_D05_lane4,lane4
D18-218146-lane5,c05_D05_lane5,lane5
D18-218146-lane6,c05_D05_lane6,lane6
D18-218147-lane3,a07_D06_lane3,lane3
D18-218147-lane4,a07_D06_lane4,lane4
D18-218147-lane5,a07_D06_lane5,lane5
D18-218147-lane6,a07_D06_lane6,lane6
D18-218148-lane3,b09_D06_lane3,lane3
D18-218148-lane4,b09_D06_lane4,lane4
D18-218148-lane5,b09_D06_lane5,lane5
D18-218148-lane6,b09_D06_lane6,lane6
D18-218149-lane3,a01_D07_lane3,lane3
D18-218149-lane4,a01_D07_lane4,lane4
D18-218149-lane5,a01_D07_lane5,lane5
D18-218149-lane6,a01_D07_lane6,lane6
D18-218150-lane3,b03_D07_lane3,lane3
D18-218150-lane4,b03_D07_lane4,lane4
D18-218150-lane5,b03_D07_lane5,lane5
D18-218150-lane6,b03_D07_lane6,lane6
D18-218151-lane3,c05_D07_lane3,lane3
D18-218151-lane4,c05_D07_lane4,lane4
D18-218151-lane5,c05_D07_lane5,lane5
D18-218151-lane6,c05_D07_lane6,lane6
D18-218152-lane3,a07_D08_lane3,lane3
D18-218152-lane4,a07_D08_lane4,lane4
D18-218152-lane5,a07_D08_lane5,lane5
D18-218152-lane6,a07_D08_lane6,lane6
D18-218153-lane3,b04_D05_lane3,lane3
D18-218153-lane4,b04_D05_lane4,lane4
D18-218153-lane5,b04_D05_lane5,lane5
D18-218153-lane6,b04_D05_lane6,lane6
D18-218154-lane3,c06_D05_lane3,lane3
D18-218154-lane4,c06_D05_lane4,lane4
D18-218154-lane5,c06_D05_lane5,lane5
D18-218154-lane6,c06_D05_lane6,lane6
D18-218155-lane3,a08_D06_lane3,lane3
D18-218155-lane4,a08_D06_lane4,lane4
D18-218155-lane5,a08_D06_lane5,lane5
D18-218155-lane6,a08_D06_lane6,lane6
D18-218156-lane3,b10_D06_lane3,lane3
D18-218156-lane4,b10_D06_lane4,lane4
D18-218156-lane5,b10_D06_lane5,lane5
D18-218156-lane6,b10_D06_lane6,lane6
D18-218157-lane3,a02_D07_lane3,lane3
D18-218157-lane4,a02_D07_lane4,lane4
D18-218157-lane5,a02_D07_lane5,lane5
D18-218157-lane6,a02_D07_lane6,lane6
D18-218158-lane3,b04_D07_lane3,lane3
D18-218158-lane4,b04_D07_lane4,lane4
D18-218158-lane5,b04_D07_lane5,lane5
D18-218158-lane6,b04_D07_lane6,lane6
D18-218159-lane3,c06_D07_lane3,lane3
D18-218159-lane4,c06_D07_lane4,lane4
D18-218159-lane5,c06_D07_lane5,lane5
D18-218159-lane6,c06_D07_lane6,lane6
D18-218160-lane3,a08_D08_lane3,lane3
D18-218160-lane4,a08_D08_lane4,lane4
D18-218160-lane5,a08_D08_lane5,lane5
D18-218160-lane6,a08_D08_lane6,lane6
D18-218161-lane3,b05_D05_lane3,lane3
D18-218161-lane4,b05_D05_lane4,lane4
D18-218161-lane5,b05_D05_lane5,lane5
D18-218161-lane6,b05_D05_lane6,lane6
D18-218162-lane3,c07_D05_lane3,lane3
D18-218162-lane4,c07_D05_lane4,lane4
D18-218162-lane5,c07_D05_lane5,lane5
D18-218162-lane6,c07_D05_lane6,lane6
D18-218163-lane3,a09_D06_lane3,lane3
D18-218163-lane4,a09_D06_lane4,lane4
D18-218163-lane5,a09_D06_lane5,lane5
D18-218163-lane6,a09_D06_lane6,lane6
D18-218164-lane3,c01_D06_lane3,lane3
D18-218164-lane4,c01_D06_lane4,lane4
D18-218164-lane5,c01_D06_lane5,lane5
D18-218164-lane6,c01_D06_lane6,lane6
D18-218165-lane3,a03_D07_lane3,lane3
D18-218165-lane4,a03_D07_lane4,lane4
D18-218165-lane5,a03_D07_lane5,lane5
D18-218165-lane6,a03_D07_lane6,lane6
D18-218166-lane3,b05_D07_lane3,lane3
D18-218166-lane4,b05_D07_lane4,lane4
D18-218166-lane5,b05_D07_lane5,lane5
D18-218166-lane6,b05_D07_lane6,lane6
D18-218167-lane3,c07_D07_lane3,lane3
D18-218167-lane4,c07_D07_lane4,lane4
D18-218167-lane5,c07_D07_lane5,lane5
D18-218167-lane6,c07_D07_lane6,lane6
D18-218168-lane3,a09_D08_lane3,lane3
D18-218168-lane4,a09_D08_lane4,lane4
D18-218168-lane5,a09_D08_lane5,lane5
D18-218168-lane6,a09_D08_lane6,lane6
D18-218169-lane3,b06_D05_lane3,lane3
D18-218169-lane4,b06_D05_lane4,lane4
D18-218169-lane5,b06_D05_lane5,lane5
D18-218169-lane6,b06_D05_lane6,lane6
D18-218170-lane3,c08_D05_lane3,lane3
D18-218170-lane4,c08_D05_lane4,lane4
D18-218170-lane5,c08_D05_lane5,lane5
D18-218170-lane6,c08_D05_lane6,lane6
